N,P,K,temperature,humidity,ph,rainfall,label
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea
9,77,17,20.12373284,24.45202552,5.783425416,106.158201,kidneybeans
89,52,45,24.89326318,77.01222585,7.207457207999999,196.469984,jute
106,21,35,25.627355,57.04151119,7.4285236339999985,188.5506536,coffee
27,64,15,20.16080524,24.84207559,5.514927264,138.2362122,kidneybeans
60,58,37,26.13871511,79.1188943,6.067302109,171.4892533,jute
108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,banana
0,26,31,25.0707247,95.02156793,5.547933273,192.9036306,coconut
39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,lentil
82,24,33,26.53543168,67.09608099,6.809593554,120.6494434,coffee
19,7,9,27.255435,91.71369387,6.969883482999999,101.139435,orange
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,mango
19,79,19,20.06003985,67.76252583,6.677262562,42.89509057,lentil
7,77,18,20.5591255,60.54880693,6.655918077999999,191.0895109,pigeonpeas
16,80,20,31.24021696,56.67369054,7.3393209289999986,122.0146733,pigeonpeas
18,14,11,28.04799508,90.00621688,6.550814117000001,117.1311498,orange
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,mungbean
101,75,50,26.59386409,81.40740301,6.242528277999999,109.9825551,banana
98,29,30,25.64004392,61.03273481,6.217974349,199.4735636,coffee
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,mungbean
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea
15,54,15,29.97604322,57.03184356,8.35495812,44.86052932,mothbeans
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,mungbean
5,25,6,30.72119881,94.01331956,6.0113021810000005,106.8118019,orange
5,74,21,16.24469193,21.35793891,5.591704013999999,66.97053257,kidneybeans
30,61,18,27.14911056,67.02664337,6.157782589,52.50812701,lentil
115,9,52,29.06785065,90.97685539,6.019372459,29.1194739,muskmelon
133,57,19,23.54234715,75.98203329,7.947011366,84.12536744,cotton
21,20,31,25.60033702,99.7240104,5.855457599,165.82487319999996,coconut
107,36,21,25.29250148,75.66653335,6.205263534,62.64174227,cotton
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,blackgram
14,58,17,30.53684308,59.96664731,4.605700542,33.48919022,mothbeans
54,61,77,18.81198127,15.21618225,6.206582192999999,77.54294240000002,chickpea
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice
17,57,21,19.88394011,20.31564139,5.789214288999999,60.91974792,kidneybeans
39,69,53,25.9300384,93.02357765,6.964955435,241.8202079,papaya
112,54,15,25.46228792,81.56641891,6.1754923060000015,76.88582484,cotton
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana
2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
26,27,10,28.06903173,92.91487288,6.079998496,114.1339416,orange
34,45,21,28.18837136,82.60629652,6.2873801170000005,37.01110438,mungbean
13,74,25,24.12192608,61.09533545,6.461618577,44.23629285,lentil
5,23,15,25.66901098,92.04670813,7.408939392000001,112.5424199,orange
22,60,18,19.59221047,61.28633405,6.74398035,41.7704893,lentil
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,mothbeans
83,21,28,25.5674832,60.49244602,7.466900682999999,190.2257843,coffee
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea
38,77,22,28.234829,69.3159965,6.313284267999999,35.36831423,lentil
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton
117,56,15,25.99237426,77.0543546,7.368258226,89.1188212,cotton
40,5,29,28.48444906,97.76865458,5.820978791,160.389421,coconut
26,37,30,35.39986338,49.45962621,6.166173833999999,97.41054011,mango
34,11,10,31.75048899,94.59551226,7.36220835,115.1989301,orange
22,49,22,28.23494706,61.5620517,3.71105919,72.66666443,mothbeans
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624,mungbean
88,5,47,25.86475496,86.67468041,6.662244646,41.16554802,watermelon
117,37,32,23.1069385,67.06230539,6.787658922,162.57696059999995,coffee
74,46,45,25.75734909,88.36668522,6.025028997000001,189.4263485,jute
52,71,16,27.74274761,68.53997144,7.0758864720000005,71.78615328,blackgram
111,5,50,27.59350075,91.79742953,6.399891457000001,24.84266123,muskmelon
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,banana
3,67,24,17.00067625,19.90790546,5.520880013999999,103.2926407,kidneybeans
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
82,48,36,25.79351957,81.76904006,6.352076782999999,193.2418382,jute
4,46,15,31.01274943,62.40392519,3.504752314,63.77192383,mothbeans
113,19,46,25.41864024,81.12122989,6.286387658,49.52320689,watermelon
9,17,32,25.94951662,93.40548703,5.842317989,172.0540491,coconut
105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,banana
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans
102,11,45,29.03167341,93.12603235,6.35544263,24.15591199,muskmelon
7,56,18,18.31357543,24.32991649,5.698371311,76.14153904,kidneybeans
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
30,79,22,18.28766124,69.48515056,6.254216611,48.60449438,lentil
108,22,47,28.53545677,91.72742702,6.161123579,25.1290048,muskmelon
89,22,52,24.89681131,86.10782926,6.217300786,53.14626213,watermelon
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
54,67,52,35.67667332,93.30641944,6.586107335,141.3381168,papaya
25,51,24,25.5042419,61.66852372,9.392694614,65.07981523,mothbeans
80,18,31,24.02952505,58.84880599,7.303033217,134.6803969,coffee
9,56,17,26.13708256,66.7729209,6.261937875,46.48280681,lentil
7,21,35,25.76011662,94.65830608,5.764812076,131.24514140000002,coconut
103,33,25,27.10210397,55.74973320000001,6.911066044,139.5013171,coffee
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,mungbean
90,15,52,27.04927452,91.3821731,6.448061578,23.65747461,muskmelon
19,57,23,23.6734328,47.2879691,7.342409555,141.12507219999995,pigeonpeas
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,banana
90,14,52,24.84740848,89.20454622,6.391858432,59.67927244,watermelon
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
89,53,44,24.88692811,71.91711523,7.319735475,150.2498675,jute
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
74,40,40,25.13842773,83.12053888,6.386259977999999,169.33884650000005,jute
117,30,50,24.90123934,87.20772913,6.744966312000001,46.59207341,watermelon
33,14,8,21.03200078,92.9641969,7.684420446,110.6823944,orange
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823,mungbean
26,50,19,27.3179125,51.66921088,6.005242945,32.55919573,mothbeans
100,52,19,23.45969093,82.44777468,7.903528672999999,93.50153555,cotton
9,60,23,31.96987867,57.17377029,6.2760043360000015,64.25520357,mothbeans
2,38,18,27.53632932,89.92908171,6.619891497999999,45.48591922,mungbean
55,78,21,33.39438752,62.93692886,6.602888248999999,63.57445989,blackgram
99,16,30,23.52652084,65.44340921,6.392791654,186.1728203,coffee
107,11,54,28.59052369,91.33617236,6.094016337999999,29.44008034,muskmelon
100,58,41,23.17403323,87.88255345,6.6587699910000016,160.6217342,jute
120,23,55,27.84492803,91.60666594,6.732049075,26.47844429,muskmelon
58,73,16,33.36984395,65.67718163,6.874142175,64.89517488,blackgram
5,62,23,27.9348279,66.45457122,4.722222454,145.3728801,pigeonpeas
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,mango
11,72,20,19.52226241,24.92607153,5.9511774520000005,113.334026,kidneybeans
41,69,82,20.02381489,16.63294455,6.715587232000001,68.97806542,chickpea
123,39,24,25.00755095,78.17952126,7.453106264,86.06411872,cotton
16,65,19,27.61204997,69.29786244,7.043160241,42.72374404,lentil
34,61,49,28.12971499,93.3210737,6.502675132,117.8201907,papaya
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,banana
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
20,68,17,30.11873003,60.11680815,6.578714842999999,71.72980375,blackgram
119,9,50,26.74550678,83.9195902,6.251286661,40.794305,watermelon
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,blackgram
81,56,36,23.39605743,72.60512854,7.097586415,174.78764109999997,jute
38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,lentil
81,34,30,25.17787724,62.26244581,6.6477659970000005,135.0119649,coffee
110,21,54,26.73690828,87.82430156,6.747537642,47.46447019,watermelon
20,7,9,29.47741671,91.57802915,7.1291369410000005,111.1727497,orange
36,19,32,27.10710832,50.70880979,4.94295037,92.37238878,mango
25,27,41,19.20090378,94.27659596,6.9235093710000015,108.0423555,pomegranate
24,80,22,16.71170642,19.17651433,5.635993966,96.77285817,kidneybeans
87,23,28,26.22367404,62.26594559,6.979590627,193.7461968,coffee
55,66,22,30.91219459,68.79427388,7.747775262999999,66.63830637,blackgram
111,15,54,27.7058373,92.91185695,6.194090172,22.06207161,muskmelon
20,29,27,25.09897688,92.36099489,6.047044342,157.7592626,coconut
79,45,43,25.71901283,79.15532398,7.171054239,187.1735424,jute
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
101,10,47,25.5421695,83.31883376,6.936997681,57.57343233,watermelon
119,30,49,25.35794749,80.45846265,6.903020221,47.72078245,watermelon
28,69,16,29.77013109,66.29327012,6.547361617999999,35.69674138,lentil
8,28,38,23.22594,94.42971362,6.8444019,105.6917856,pomegranate
101,87,54,29.07311132,76.50045221,6.376756632999999,100.1692639,banana
102,14,52,26.79489868,89.64815231,6.51075991,57.74091817,watermelon
87,6,45,29.82729394,90.79007335,6.40077205,22.84203589,muskmelon
111,88,55,29.44795403,78.34971537,5.505393832999999,96.45042585,banana
89,25,50,27.04863538,91.34685096,6.375923383,25.08146686,muskmelon
92,20,55,25.10474753,87.52676159999999,6.5877912620000005,59.26519444,watermelon
6,36,22,24.21610338,59.79236306,8.869532817,42.24783476,mothbeans
15,28,32,28.84270971,99.64328526,6.2185718739999984,224.4016682,coconut
10,55,23,21.18853178,19.63438599,5.728233081,137.1948633,kidneybeans
88,50,40,25.63215038,79.95150917,7.0518224720000005,182.2582277,jute
22,60,24,18.78226261,20.24768314,5.630664753,104.2570723,kidneybeans
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,chickpea
35,52,15,28.69841277,61.14754363,9.93509073,65.67591794,mothbeans
73,43,42,26.58361011,78.00774772,6.310699968,154.8238864,jute
80,16,46,25.50405534,81.40297428,6.940236218,48.47833278,watermelon
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea
89,9,47,29.47156259,90.77069618,6.6683827660000015,28.75226067,muskmelon
68,69,52,25.65492304,92.74501561,6.813383387000001,52.95477913,papaya
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
16,18,26,28.43647052,91.81320717,5.568365926,145.54144130000003,coconut
2,21,35,25.02887163,91.53720922,6.293662362999999,179.8248944,coconut
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,banana
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,mungbean
71,56,37,23.18866654,86.20899734,6.491506245,176.103677,jute
29,17,29,29.20394909,95.66997327,5.959493188,211.2506267,coconut
119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,watermelon
6,59,21,26.58972517,66.14007674,6.139215944,50.90994463,lentil
17,18,43,24.4880844,90.83687246,5.843005428,103.1969341,pomegranate
27,62,24,28.63005477,66.770943,7.353876754,62.2737345,blackgram
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,watermelon
4,23,5,22.67594476,93.36348717,7.477935216,110.3332655,orange
11,41,19,26.85911286,41.81420849,5.131779302,44.13827124,mothbeans
19,36,22,25.44689075,58.55363573,6.16496284,57.04826619,mothbeans
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
62,59,41,24.2248758,74.89465426,7.175170657000001,192.4931257,jute
106,20,51,29.73019662,90.97015715,6.342573112,20.49035619,muskmelon
28,75,21,24.7741949,50.54621094,6.007508163,114.2821387,pigeonpeas
121,47,16,23.60564038,79.29573149,7.7232401510000015,72.49800885,cotton
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize
80,45,42,23.1426498,74.99739774,7.380396262,151.9035477,jute
37,56,25,22.05592283,19.60379304,5.774755143999999,126.7265372,kidneybeans
119,90,48,28.66725136,79.59242542,5.986442306,118.2583441,banana
33,31,34,31.32995611,50.22287593,5.421265282999999,89.78216168,mango
2,36,31,30.90225239,49.95955487,5.73171945,91.77522598,mango
15,6,41,19.0087067,88.83768149,6.8973684770000006,108.6793978,pomegranate
39,65,23,25.43459777,69.12613376,7.685959305,41.02682925,lentil
17,64,18,36.75087487,58.25799145,6.07938452,124.6028153,pigeonpeas
7,56,23,26.33908791,40.00933429,5.545219232000001,55.50429227,mothbeans
109,23,25,25.11711046,68.48030408,7.00733163,194.8773479,coffee
34,60,22,17.66148158,18.15302753,5.635231778,100.6711761,kidneybeans
101,20,48,24.6774157,82.75411437,6.206247493999999,57.05709413,watermelon
116,36,25,27.57847581,58.52534263,6.172090205,156.6810374,coffee
120,40,33,24.23850608,54.30329632,6.73410539,115.1564012,coffee
21,78,19,27.16159076,66.76017239,6.92009048,69.85112265,blackgram
62,49,37,24.21744605,82.85284045,7.479248124,166.13658859999995,jute
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram
101,58,18,25.66891439,81.38103349,6.652143699,78.59595817,cotton
113,20,48,27.46583649,94.87679041,6.440584681,27.27899847,muskmelon
0,69,21,25.86928193,61.88321072,7.072923306,36.68284038,lentil
81,40,45,25.7629429,80.76238215,6.427726565,174.5071843,jute
89,91,55,25.08347445,80.26173100000003,6.275572297999999,94.32961456,banana
23,7,34,26.1055118,91.52421214,5.852038202,134.1279669,coconut
18,74,15,24.9035819,22.27512704,5.70836603,146.4727237,kidneybeans
30,20,38,22.59890174,93.16343942,7.058222596,110.0932899,pomegranate
55,67,16,34.37329112,69.69366426,6.596719015,70.27184748,blackgram
120,87,52,28.0764455,76.05522115,5.905494703,118.99235729999998,banana
100,74,52,25.43480512,81.53977797,5.837258235,96.47800391,banana
19,15,34,26.29644905,99.65809151,5.6858890660000005,215.9195049,coconut
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram
6,30,40,22.77035608,91.45498527,6.36137446,106.9659201,pomegranate
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
99,40,32,24.18471151,69.94807345,7.0455430560000005,163.27087319999995,coffee
108,24,31,24.12832546,56.18107663,6.431899747999999,147.27578180000003,coffee
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,mothbeans
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
20,29,10,29.07412717,93.27189064,7.36549204,100.7896871,orange
57,73,85,18.49311205,14.72115044,7.358099622,91.94595352,chickpea
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
29,16,36,19.81069447,88.92944254,5.7403380020000006,102.860084,pomegranate
85,53,38,24.90075709,73.84186449,6.588017308,153.8990984,jute
29,22,43,19.66329768,87.95158129,5.561851831,106.0380805,pomegranate
28,72,84,18.72963144,19.18197264,6.481783042999999,71.58010169,chickpea
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,blackgram
29,36,25,28.28511547,88.4393979,7.130278657000001,48.56690235,mungbean
90,48,45,24.06475727,71.31342851,6.509174788999999,153.63902119999997,jute
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice
29,78,25,19.95991719,59.33157782,5.982854522999999,195.787103,pigeonpeas
119,5,55,29.68846716,94.30111601,6.168757984,26.83924845,muskmelon
21,63,17,15.77370214,19.2303162,5.979973965,108.3441414,kidneybeans
25,7,35,28.38503882,99.18843684,5.55771171,189.67113490000003,coconut
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,pigeonpeas
116,40,33,24.91370487,54.15319242,7.042089492000001,129.5481144,coffee
24,14,33,29.38072512,93.27565685,6.366219551,218.5241851,coconut
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice
110,14,51,27.02415146,91.66737633,6.085444691,21.26034986,muskmelon
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,watermelon
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,chickpea
86,15,47,24.04355803,84.18406764,6.423898762,53.78929956,watermelon
37,65,16,22.8352024,18.97267518,5.683548308,63.59276673,kidneybeans
10,56,16,28.17432665,81.04554836,6.828187498999998,36.35720652,mungbean
82,75,55,27.34585147,78.48738349999998,6.281069505,92.15524332,banana
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,blackgram
107,34,32,26.77463708,66.4132686,6.78006386,177.7745075,coffee
0,55,22,22.98666928,20.57940608,5.916779289,143.85849380000005,kidneybeans
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,maize
33,73,23,29.23540524,59.38967583,5.985792703,103.3301803,pigeonpeas
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
38,56,25,25.74095321,45.38497051,7.88118645,67.43488235,mothbeans
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize
89,25,34,23.07895447,63.65861483,7.184801627000001,129.8765443,coffee
20,27,41,20.51343484,92.51675903,5.700088663,110.5764023,pomegranate
40,22,6,24.53610067,91.90997228,6.488221135,115.9787989,orange
84,18,46,27.08808014,93.42402083,6.781050372999999,25.32159689,muskmelon
27,30,31,28.98545306,90.73966792,5.718120393,148.8398374,coconut
24,27,34,28.87862994,95.11320315,6.203376525,145.0583117,coconut
37,57,20,31.1006247,44.82069159,7.354286985,70.79934452,mothbeans
26,80,83,17.08498521,16.14565756,7.528599957000001,71.31007253,chickpea
109,79,45,27.66752761,79.68542782,6.490074429,108.66464,banana
82,22,45,26.22338015,85.34866045,6.512196212,54.60159289,watermelon
37,11,36,24.24779615,85.56033312,6.710143266,106.9216033,pomegranate
89,58,35,23.98651719,82.09053379,6.096838784,167.0576456,jute
30,30,35,25.00872392,95.59224018,6.001936419,165.8092179,coconut
2,56,23,26.65333029,59.79023382,7.550090941,36.91852635,mothbeans
13,69,19,17.30844532,20.01730914,5.86390397,115.199245,kidneybeans
95,16,46,27.076726500000003,90.14362622,6.74669542,24.4514648,muskmelon
94,26,27,26.36629861,52.25738495,7.456460375,177.31761609999995,coffee
40,9,41,24.37766782,85.4017118,5.78270695,106.128338,pomegranate
83,94,47,27.39872329,81.10523402,6.469370954,112.1355384,banana
37,10,32,28.96318258,95.16333673,6.165084855,222.803013,coconut
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,mungbean
110,78,50,25.93730186,78.89864446,5.915568968,98.21747528,banana
45,61,78,19.48649305,16.06240074,6.489389282,81.52842690000001,chickpea
6,64,23,23.33565221,67.40460704,7.065264073,36.18678721,lentil
9,11,8,24.85903405,94.39000473,6.559236744,111.78037340000002,orange
17,16,14,16.39624284,92.18151927,6.625538653,102.944161,orange
3,77,25,24.84906168,22.89464642,5.608165195,62.21292186,kidneybeans
21,74,15,29.49096726,67.10604388,6.471862118,153.2504506,pigeonpeas
83,38,35,25.70822684,52.88667115,7.18915558,136.73250919999998,coffee
10,70,19,24.84918386,68.98088448,7.272427638,41.61080544,lentil
9,80,19,21.80619564,18.57086554,5.945465949,125.0972687,kidneybeans
37,73,21,29.50304807,63.46513414,5.560224582999999,189.5208915,pigeonpeas
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,blackgram
31,72,17,28.69180475,49.47225353,5.833031707999999,96.36222901,pigeonpeas
21,39,20,28.14448546,82.1193047,7.064782137999999,46.75690086,mungbean
13,22,5,19.667056,90.50096668,7.764040111,100.1737964,orange
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea
15,77,20,25.13163619,66.92642362,7.399749291,49.04015558,lentil
14,41,17,29.12939524,88.48312598,7.085982325,36.45012824,mungbean
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,blackgram
14,18,35,31.09154239,47.02058367,4.791146778,91.46664318,mango
33,12,15,30.25578031,92.03272799,6.052318465,116.7173125,orange
80,43,43,23.78756036,74.36794079,6.014572075,172.64426540000005,jute
6,62,22,20.53052663,18.09224048,5.824090984,120.4509288,kidneybeans
32,78,22,23.97081395,62.35557553,7.007037515,53.40906048,lentil
29,54,16,27.78031515,54.65030015,8.153022903,32.05025323,mothbeans
81,18,50,26.44019475,80.91934337,6.507110986,47.81847573,watermelon
23,24,32,28.1218093,46.16888595,5.630619901,93.30247448,mango
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas
42,53,48,23.11407669,94.31994776,6.758479569,231.5153161,papaya
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
37,38,32,31.85744939,45.53106268,5.417340525,91.55845821,mango
96,13,55,29.5275305,94.57459443,6.700337732,21.13545688,muskmelon
30,63,16,23.60506572,21.90539577,5.5259045260000015,100.5978728,kidneybeans
27,22,29,28.83214859,92.17170353,6.000248647,145.41723869999996,coconut
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,blackgram
107,21,26,26.45288458,55.32222678,7.235070264,144.68613359999995,coffee
4,6,7,23.01014302,91.11764246,6.708889665,112.6738296,orange
43,79,79,19.40751744,18.98030507,7.8067476560000015,80.25064637,chickpea
24,61,17,22.6371424,65.44544859,6.233269045,38.30411077,lentil
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
21,17,15,23.98289638,91.5473145,7.455991072000001,118.4901697,orange
83,7,45,29.08417927,90.73891887,6.704104127000001,25.33014238,muskmelon
109,91,53,29.66727337,83.51014178,6.010095852999999,110.2511102,banana
118,18,32,27.6496114,51.11044023,6.351823783,122.8392822,coffee
107,38,29,26.65069302,57.56695719,6.35118177,145.105065,coffee
12,58,23,21.74600081,63.39503184,6.765091462000001,50.43306085,lentil
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,blackgram
103,16,49,24.06731461,81.64075303,6.915717008,51.75212401,watermelon
17,29,26,26.14162144,93.28415295,6.071897347,195.4115025,coconut
35,74,22,26.7230014,62.96841833,6.898905799,42.87274897,lentil
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice
111,40,25,24.48469200000001,84.44932014,6.187455798999999,90.94342484,cotton
105,18,35,23.52648086,68.44030686,6.743417121,171.8839938,coffee
37,64,22,17.48189735,18.8251973,5.954665349,121.9401369,kidneybeans
40,73,20,21.59343016,20.31871249,5.811314232000001,61.13872036,kidneybeans
42,79,23,27.71678273,63.29103387,6.781841984,68.56507978,blackgram
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,mungbean
56,57,48,31.56213762,93.0484859,6.506120752,63.62250788,papaya
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,lentil
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
22,28,26,27.67256197,45.41692012,4.947683034,92.84991507,mango
25,76,24,15.33042636,24.91506728,5.56503533,135.3315583,kidneybeans
112,28,54,24.86094646,85.05318563,6.738030547,55.29563514,watermelon
23,23,30,32.82141065,47.45553843,4.755273631000001,90.89173106,mango
36,7,37,19.8671184,86.35590206,5.782435567,108.3168858,pomegranate
99,57,38,24.80624984,82.09281674,6.356295567999999,156.3616174,jute
38,19,31,34.73823882,49.08864345,5.855119267999999,90.65022183,mango
99,29,55,29.19378695,91.46241065,6.660954816,26.48240255,muskmelon
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,blackgram
31,13,33,29.69952329,95.21224392,6.342463714,148.30036919999995,coconut
105,77,52,29.16226551,76.16151562,5.816622478999999,100.0075679,banana
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
26,18,42,19.72620525,89.64934166,6.910374919,108.22872759999998,pomegranate
40,51,17,28.66086349,86.12194568,6.860602782000001,50.01534317,mungbean
35,57,25,27.0956288,42.26206161,8.340398059,71.12710390000002,mothbeans
